autores_tratados,Sexo Primeiro Autor (dic),Qtd Autores Feminino (dic),Qtd Autores Unknown (dic)
J. L. S. GONCALVES; A. R. RICA; W. F. AMORIM; N. S. FIGUEIREDO; S. S. OLIVEIRA; D. CAMPELO; L. M. CUNHA,unknown,0.0,7.0
FRANCISCO D. B. S. PRACIANO; JAVAM C. MACHADO,M,0.0,1.0
GABRIELA MORAES; FABIO PORTO; FEDERICO ULLIANA; JEAN-FRANCOIS BAGET; MICHEL LECLERE; PIERRE BISQUERT; BERNARDO GONCALVES; PATRICK VALDURIEZ,F,1.0,1.0
LUCAS B. SENA; JAVAM C. MACHADO,M,0.0,1.0
BRUNO RAVIOLO; JOAN LUCAS M. S. CHAVES; RAIMIR HOLANDA FILHO; CARLOS CAMINHA,M,0.0,1.0
RAFAEL C. G. CONRADO; EDUARDO M. CAMPOS; CAETANO TRAINA JR.; AGMA J. M. TRAINA; MIRELA T. CAZZOLATO,M,1.0,1.0
EDUARDO M. CAMPOS; RAFAEL C. G. CONRADO; CAETANO TRAINA JR.; AGMA J. M. TRAINA; MIRELA T. CAZZOLATO,M,1.0,1.0
ELYSSON ALVES DE LACERDA; GUSTAVO ALMEIDA MONTEIRO; FRANCIEL SILVEIRA PENHA DE VASCONCELOS; MARCOS ANTONIO DE OLIVEIRA,unknown,0.0,1.0
EDMILSON DOS SANTOS DE JESUS; CELIA GHEDINI RALHA; GECYNALDA SOARES DA SILVA GOMES; KAREN AUZIDEA DOS SANTOS PEREIRA,M,2.0,1.0
IDERLI P. SOUZA FILHO; JOMI F. HUBNER,unknown,0.0,2.0
GABRIEL L. M. OLIVEIRA; GLEIFER VAZ ALVES; NILSON M. LAZARIN,M,0.0,1.0
FELIPE DA C. CALEGARI; IAGO O. SILVESTRE; JOMI F. HUBNER; LEANDRO B. BECKER; MAIQUEL DE BRITO,M,0.0,1.0
GEORGIY C. TANCA NAZAROV; IAGO SILVESTRE; FERNANDO R. SANTOS; JOMI F. HUBNER; LEANDRO BUSS BECKER,unknown,0.0,2.0
ALEXANDRE L. L. MELLADO; ANDRE PINZ BORGES; RAFAEL C. CARDOSO; GLEIFER VAZ ALVES,M,0.0,1.0
